Name,Date,Price,ageMin,ageMax,Categories,Venue,Description,Status
Radio Broadcasting ,06/01/2019,195,14,18,Art,Benson High School,"Spend a week on KBPS?s radio station as you learn how to produce sound bites, pick music, conduct interviews and make announcements. Learn the fundamentals of announcing, writing and production in a real radio station. Practice using radio broadcasting and digital audio equipment. Walk away with a final demo tape and the skill set to make more.",Confirmed - Final
Art Camp: Draw & Sketch,06/01/2019,325,7,8,Art,Central Catholic High School,"Use pencil and ink, charcoal and markers and create portraits of animals, people and other subjects. Techniques for shading, contouring and perspective will be introduced with step-by-step instructions. Create a final piece of art to share with family and friends!",Confirmed - Final
Comic Book Camp ,06/01/2019,345,12,14,Art,Central Catholic High School,"Use your ideas about heroes and making the world a better place as inspiration for your own comic! Utilize both writing and drawing skills to tell unique, interesting, and personal stories in your very own graphic novel. Comic storytelling combines both writing and drawing to tell tales that span every conceivable genre. Employ the techniques of professional cartoonists to tell own your story, from narrative development to layout, penciling, inking, coloring, and lettering a final product. You will improve your ability to tell a clear story by designing pages that engage readers and communicate effectively. Incorporate math into your project through 2D and 3D perspectives.",Confirmed - Final
Creating a Comic Book & Graphic Novel ,06/01/2019,179,9,10,Art,Portland State University,"Create your own comic book or graphic novel. Learn the basic techniques of graphic storytelling from storyboarding to penciling to inking. Develop your drawing skills with a focus on composition, expression, and lettering and explore various inking techniques using pens and brushes.",Confirmed - Final
Street Photography ,06/01/2019,185,14,18,Art,Portland State University,Anyone can take a camera to the streets and click the shutter. But creating an engaging street photo that tells a story is an art form! Explore what makes a street photo interesting and how to set yourself up to capture candid decisive moments.,Confirmed - Final
Photography Camp : Empower Your Imagination ,06/01/2019,375,12,14,Art,Portland State University,"Photography is a powerful way to discover and reflect the world around us. Learn the entire creative process from how to operate your camera, compose captivating photos, edit photos in the digital darkroom, and prepare your images for online sharing!",Confirmed - Final
Digital Photo Arts: Advanced Editing Camp ,06/01/2019,345,14,18,Art,Portland State University,"Advance your photography skills using Photoshop and Lightroom. Explore cropping, layers, removing and adding objects to make the best photographs and create Art composites. Work toward mastery of organization, file saving and printing processes in Lightroom.",Confirmed - Final
Digital Darkroom: Photo Editing Camp ,07/01/2019,375,14,18,Art,Portland State University,Strengthen your photographic skills by learning the art of post-processing in the digital darkroom. Spend time each day making fresh photos around town. Then head into the digital darkroom to correct and enhance photos using Adobe Lightroom and Photoshop.,Confirmed - Final
Photography: Special Effects ,07/01/2019,195,14,18,Art,Portland State University,Are you comfortable with the basics of photography such as light and composition? Are you curious how to make water look like silk or lights look like stars? Max out your camera's features to create stunning special effects in-camera!,Confirmed - Final
Stage Makeup 101: Special Effects ,07/01/2019,195,12,14,Art,Portland State University,They all had makeup engineers distorting their appearance behind camera to create the face you saw on screen. Create characters and illusions while learning the basics of applying theatrical makeup.,Confirmed - Final
Stage Makeup 101: Special Effects ,07/01/2019,195,9,12,Art,Portland State University,They all had makeup engineers distorting their appearance behind camera to create the face you saw on screen. Create characters and illusions while learning the basics of applying theatrical makeup.,Confirmed - Final
Photography: Exploring Portland ,07/01/2019,185,14,18,Art,Portland State University,"Learn camera basics, composition, perspective, and light while shooting local attractions. Collaborate with classmates to choose the best photos for digital presentation or Instagram. Learn professional techniques for capturing an image and transforming it into a powerful photograph.",Confirmed - Final
Extended Camp,07/01/2019,50,7,9,Art,University of Portland,TBD,Confirmed - Final
Electronic Music: Advanced ,07/01/2019,209,11,14,Art,University of Portland,"Graduate beyond Garageband Loops and move into professional music production software. Learn music theory for producers, synthesis, sampling automation, songwriting and more while working in Ableton Live. Write and record a brand new song of your own.",Confirmed - Final
Music & Audio for Filmmaking ,07/01/2019,195,12,16,Art,University of Portland,"Sound and music are vital elements of a film's impact. Use GarageBand to add new twists to your favorite films with overlays of different music clips. Learn about the secret art of sound design, Foley, voice acting and more.",Confirmed - Final
Electronic Music ,07/01/2019,209,11,14,Art,University of Portland,"Compose music with GarageBand, a powerful and flexible program that lets you create any music you can imagine. Experiment with sampling, synthesizers, mixing, equalizing and more. Learn music theory and the history of electronic music and hip-hop. Release your musical creation online.",Confirmed - Final
Extended Camp,07/01/2019,50,12,14,Art,University of Portland,After care,Confirmed - Final
